place,longitude,latitude
Brooklyn,-73.9441579,40.6781784
Houston,-95.3698028,29.7604267
New Haven,-72.9278835,41.308274
Boston,-71.0588801,42.3600825
Denver,-104.990251,39.7392358
New York,-74.0059728,40.7127753
Hempstead,-74.5023463,40.4661551
Columbus,-82.99879419999999,39.9611755
New York,-74.0059728,40.7127753
Detroit,-83.0457538,42.331427
Olathe,-94.81912849999999,38.8813958
Phoenix,-112.0740373,33.4483771
Austin,-97.7430608,30.267153
Albuquerque,-106.6055534,35.0853336
Golden,-105.2210997,39.755543
Dumfries,-77.3280382,38.5676202
Concord,-71.5375718,43.2081366
Pleasantville,-74.5240422,39.3898388
San Diego,-117.1610838,32.715738
Santa Ana,-117.867653,33.7454725
Forrest Grove,-123.1106631,45.5198364
Corpus Christi,-97.39638099999999,27.8005828
Vancouver,-122.6716063,45.6318397
Cleveland,-81.6943605,41.49932
Santa Fe,-105.937799,35.6869752
Chicago,-87.6297982,41.8781136
San Diego,-117.1610838,32.715738
Queens,-73.7948516,40.7282239
Evansville,-95.682824,46.0041275
Brooklyn Heights,-81.6665149,41.4164222
Raleigh,-78.6381787,35.7795897
West Valley City,-112.0010501,40.6916132
Denver,-104.990251,39.7392358
Marshfield,-70.7055871,42.0917453
Raleigh,-78.6381787,35.7795897
Pittsburg,-79.9958864,40.44062479999999
Rochester,-92.4801989,44.0121221
Southgate,-83.19381469999999,42.2139284
Philadelphia,-75.1652215,39.9525839
Merriden,-72.80704349999999,41.5381535
Queens,-73.7948516,40.7282239
New York City,-74.0059728,40.7127753
Salem,-123.0350963,44.9428975
Queens,-73.7948516,40.7282239
Englewood,-118.3531311,33.9616801
Samford,-75.4835125,42.1023044
Corpus Christi,-97.39638099999999,27.8005828
Carbondale,-107.2111628,39.4022054
Otay Mesa,-116.9734685,32.5594732
Detroit,-83.0457538,42.331427
Seattle,-122.3320708,47.6062095
New Orleans,-90.0715323,29.95106579999999
San Antonio,-98.49362819999999,29.4241219
Oklahoma City,-97.5164276,35.4675602
Bronx,-73.8648268,40.8447819
Detroit,-83.0457538,42.331427
Miami,-80.1917902,25.7616798
Litchfield,-73.1887165,41.7472642
Nahant,-70.922279,42.4265633
Chicago,-87.6297982,41.8781136
Reno,-119.8138027,39.5296329
Painesville,-81.245657,41.7244885
Atlanta,-84.3879824,33.7489954
Las Vegas,-115.1398296,36.1699412
Salt Lake City,-111.8910474,40.7607793
New Haven,-72.9278835,41.308274
Beverly,-51.9613403,-23.435182
Chardon,-81.2133262,41.5786639
Lancaster,-76.3055144,40.0378755
Minneapolis,-93.2650108,44.977753
Seattle,-122.3320708,47.6062095
Tacoma,-122.4442906,47.2528768
Fort Smith,-94.39854749999999,35.3859242
Houston,-95.3698028,29.7604267
Brooklyn Heights,-73.9932872,40.6960105
South Plainfield,-74.4115401,40.5792701
South Plainfield,-74.4115401,40.5792701
Granger,-86.11083769999999,41.7533819
South Plainfield,-74.4115401,40.5792701
Youngstown,-80.6495194,41.0997803
Boulder,-105.2705456,40.0149856
Providence,-71.4128343,41.8239891
Arlington,-77.09098089999999,38.8816208
Detroit,-83.0457538,42.331427
Tacoma,-122.4442906,47.2528768
New York City,-74.0059728,40.7127753
New York City,-73.9985295,40.72997549999999
Taylor,-97.40944379999999,30.5707551
Houston,-95.3698028,29.7604267
Marlborough,-71.5522874,42.3459271
Brooklyn,-73.9441579,40.6781784
Minneapolis,-93.2650108,44.977753
Los Angeles,-118.2436849,34.0522342
Tukwila,-122.2609558,47.4739884
Tuscon,-110.9747108,32.2226066
Kansas City,-94.5785667,39.0997265
Phoenix,-112.0740373,33.4483771
Los Angeles,-118.2436849,34.0522342
Modesto,-120.9968782,37.63909719999999
New Britain,-72.7795419,41.6612104
Wisconsin Rapids,-89.8173465,44.38357630000001
Fort Benning,-84.9552211,32.3530561
Mancos,-108.2892487,37.344996
Springfield,-72.589811,42.1014831
Chicago,-87.6297982,41.8781136
Willington,-77.9447102,34.2257255
Upper West Side,-73.9753676,40.7870106
Runnemede,-75.0679497,39.8523358
Nashua,-71.46756599999999,42.7653662
San Francisco,-122.4194155,37.7749295
Rogers,-94.1185366,36.3320196
Memphis,-90.0489801,35.1495343
Dallas,-96.79698789999999,32.7766642
San Diego,-117.1610838,32.715738
Anoka County,-93.2197005,45.3292832
San Diego,-117.1610838,32.715738
South Salt Lake,-111.8882691,40.7188354
Mesa,-111.8314724,33.4151843
Manchester,-71.4547891,42.9956397
Jacksonville,-81.65565099999999,30.3321838
Beltsville,-76.9074739,39.0348317
Newburyport,-70.87727509999999,42.8125913
Sterling Heights,-83.0302033,42.5803122
Seattle,-122.3320708,47.6062095
Newark,-74.1723667,40.735657
Philadelphia,-75.1652215,39.9525839
Bellevue,-73.97533670000001,40.7389351
Houston,-95.3698028,29.7604267
Detroit,-83.0457538,42.331427
Richmond,-77.4360481,37.5407246
Charolotte,-80.8431267,35.2270869
Oxnard,-119.1770516,34.1975048
Baltimore,-76.6121893,39.2903848
Baraboo,-89.74429060000001,43.4710944
Vancuver,-122.55783,45.6355146
Lake Geneva,-88.4334301,42.5916836
Springdale,-84.48522129999999,39.287002
Somersworth,-70.8653372,43.2617503
Cleveland,-81.6943605,41.49932
